OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045873216,0,0
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045873865,600,1
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045876884,3617,0
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045877268,3994,1
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045877334,4065,2
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045878552,5279,3
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045879153,5887,4
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045879536,6264,5
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045880087,6820,6
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045880971,7699,7
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045881338,8068,8
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045881705,8439,9
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045882138,8869,10
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045882505,9240,11
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045883006,9731,12
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045883306,10041,13
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045883723,10452,14
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045884474,11200,13
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045884807,11535,14
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045885057,11791,15
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045886025,12760,16
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045886558,13285,17
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045888310,15037,18
1_superhot.mp4 - 60.05,378D92D9-B835-C23B-4586-0F98F0D99B79_25,89DA2498-EB31-04AF-2921-AEA70D626881,4F68A5C6-B904-07F4-B53C-3C795D6D3984,1679045888827,15556,19
