Timestamp,Data protection Notice,Age,Ethnicity,Gender,Handedness,Education,Favourite game,Familiarity with Videogames,Familiarity with First person shooter games,Familiarity with affect annotation tasks,"What device did you use to annotate with? ",Was your sound on while annotating?,Indicate your Operating System,"Validation ID: "
16/03/2023 17:10,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",25-35,Asian / Pacific Islander,Male,Right-handed,University education completed,RDR2,5,5,5,Computer mouse wheel,Yes,Windows,1D8DFC94-778B-0969-9390-9F8A5B9C33EE
27/03/2023 11:46,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",18-25,Caucasian,Female,Right-handed,Secondary education completed,Total War Warhammer II,4,2,2,Computer mouse wheel,Yes,Windows,00A7359F-E204-F0E0-C597-D06904480AB6
29/03/2023 17:30,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",18-25,Caucasian,Female,Right-handed,Secondary education completed,Grand Theft Auto 5,3,2,1,Computer mouse wheel,Yes,Windows,170FE9CD-7D74-2063-7334-E800F4C8B242
29/03/2023 17:30,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",18-25,Caucasian,Male,Right-handed,University education completed,Call of Duty Modern Warfare 2,4,5,2,Computer mouse wheel,Yes,Windows,7DE9D843-1393-39B5-98B4-25F739550135
30/03/2023 08:56,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",18-25,Caucasian,Male,Right-handed,University education completed,Dishonored,5,5,2,Computer mouse wheel,Yes,Windows,AFEF59E4-193B-0568-285B-A8FDC9224F79
30/03/2023 09:48,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",18-25,Caucasian,Male,Right-handed,University education completed,Dishonored,5,5,2,Computer mouse wheel,Yes,Windows,5782A4A8-DFD1-CA27-D4D4-6C85258384AF
30/03/2023 14:47,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",25-35,Caucasian,Male,Right-handed,University education completed,Stalker,5,5,5,Computer mouse wheel,Yes,Windows,5782A4A8-DFD1-CA27-D4D4-6C85258384AF
11/04/2023 17:36,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",25-35,Caucasian,Male,Right-handed,University education completed,league of legends,4,4,4,Computer mouse wheel,Yes,Windows,BD7CE04E-99E3-7FA4-A15B-5625CD981638
20/04/2023 18:47,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",25-35,African,Male,Right-handed,University education completed,,4,4,3,Trackpad,Yes,Windows,3135871B-88FB-3113-D4C5-058C0603B54A
21/04/2023 14:30,"I understand that the data I generated including my Engagement indications will be stored anonymously., I consent to my data to be stored, used, and published as part of an anonymised dataset.",35-45,Caucasian,Male,Right-handed,University education completed,,3,3,4,Computer mouse wheel,Yes,Windows,3865D7ED-91D3-6EF6-DB13-DD7C46D9034E
